"Year,month",reply_type,Avg_leads
2019-01,call,199587.66508098392
2019-01,chat,27263.5379250369
2019-01,email,1916.984529030645
2019-01,sms,18513.91955276787
2019-02,call,181201.753548328
2019-02,chat,25791.62209369043
2019-02,email,2559.539127517357
2019-02,sms,17470.611684010786
2019-03,call,194053.3219941708
2019-03,chat,26103.08004539329
2019-03,email,3111.471908982646
2019-03,sms,17306.215488160582
2019-04,call,193085.85348858166
2019-04,call/sms,18.641608682733327
2019-04,chat,26124.078684958065
2019-04,email,3202.1343339804002
2019-04,sms,16381.074758298666
2019-05,call,164343.19965890748
2019-05,call/sms,20.343261939419353
2019-05,chat,24221.253252584833
2019-05,email,3264.5337523994203
2019-05,sms,14719.328364287227
2019-06,call,142785.750807462
2019-06,call/sms,20.374778193266664
2019-06,chat,29798.80748421527
2019-06,email,2827.160704425933
2019-06,sms,17903.7927078034
2019-07,call,216248.05925824196
2019-07,call/sms,30.22410472283871
2019-07,chat,32639.75502874897
2019-07,email,2880.2058493226455
2019-07,sms,18868.765694416194
2019-08,call,202266.5349533505
2019-08,call/sms,23.990699878967742
2019-08,chat,30173.93801907936
2019-08,email,2831.2975037970323
2019-08,sms,16829.805679850837
2019-09,call,190338.31367685966
2019-09,call/sms,19.5435951178
2019-09,chat,31341.181854478466
2019-09,email,2760.8148302259337
2019-09,sms,17218.493408245668
2019-10,call,194303.21555353285
2019-10,call/sms,30.731640316387097
2019-10,chat,28877.670307346838
2019-10,email,2697.323729940645
2019-10,sms,15827.136460788386
2019-11,call,202320.1230916523
2019-11,call/sms,39.527023948600004
2019-11,chat,33168.93284634527
2019-11,email,3201.8014738121337
2019-11,sms,16432.244693360266
2019-12,call,189443.35783169055
2019-12,call/sms,25.565946676193548
2019-12,chat,34298.08211890722
2019-12,email,3087.338297666064
2019-12,sms,15944.73671517387
2020-01,call,184468.50231271074
2020-01,chat,34077.90198280548
2020-01,email,2820.315286625097
2020-01,sms,16671.563414213033
2020-02,call,197836.73558091
2020-02,chat,34714.293395686414
2020-02,email,3211.8479463364138
2020-02,sms,17108.047585344346
2020-03,call,137561.04413487526
2020-03,chat,24874.08850469193
2020-03,email,2517.4813223594842
2020-03,sms,11851.616547185806
2020-04,call,83066.74377545419
2020-04,chat,17504.567863747736
2020-04,email,1665.1551264024663
2020-04,sms,8013.268241149267
2020-05,call,150943.8879969033
2020-05,chat,30864.950192828772
2020-05,email,2564.8087321389035
2020-05,sms,15048.486364689807
2020-06,call,220654.5529946572
2020-06,chat,41568.17534430606
2020-06,email,3455.7215439277334
2020-06,sms,20598.70008764807
2020-07,call,191161.44078719118
2020-07,chat,37775.59353923094
2020-07,email,3704.3303186164844
2020-07,sms,16711.36076768497
2020-08,call,183770.17655889638
2020-08,chat,37453.48380402616
2020-08,email,3874.9983051289996
2020-08,sms,16645.759555464836
2020-09,call,186157.7212979483
2020-09,chat,39922.186886724296
2020-09,email,4398.0918158861
2020-09,sms,17114.709812679135
2020-10,call,158671.4779275703
2020-10,chat,32542.447341148745
2020-10,email,3523.5216576257426
2020-10,sms,14329.231597197193
2020-11,call,167186.71330393816
2020-11,chat,30781.345398376343
2020-11,email,2973.2920452081
2020-11,sms,13616.384758458564
2020-12,call,177406.8874971601
2020-12,chat,32197.945534827682
2020-12,email,3062.1186857882253
2020-12,sms,14289.342178404644
2021-01,call,181585.62500193476
2021-01,chat,33827.09328673391
2021-01,email,2912.4521505647735
2021-01,sms,14575.132838960262
2021-02,call,182175.04241622234
2021-02,chat,33616.040203156685
2021-02,email,2941.581704991715
2021-02,sms,14969.673512673106
2021-03,call,210301.30668378322
2021-03,chat,13737.6667063399
2021-03,email,4291.338555522935
2021-03,sms,19329.574567089418
