"Year,month",platform,Leads_per_ad
2019-01,Android,6.870701712334256
2019-01,Desktop,5.749829913550749
2019-01,Mobile Web,6.382900051345084
2019-01,iOS,7.571624381973227
2019-02,Android,6.865083175127465
2019-02,Desktop,5.632037737993068
2019-02,Mobile Web,6.407240523225179
2019-02,iOS,7.589865674856429
2019-03,Android,6.632544197577662
2019-03,Desktop,5.625194314086772
2019-03,Mobile Web,6.318766464601994
2019-03,iOS,7.517901047524436
2019-04,Android,6.512289723599824
2019-04,Desktop,5.617299447534721
2019-04,Mobile Web,6.30538015348019
2019-04,iOS,7.461479222534652
2019-05,Android,6.459973240934408
2019-05,Desktop,5.51507934341041
2019-05,Mobile Web,6.197480252961404
2019-05,iOS,7.519676579628908
2019-06,Android,6.6907374979766985
2019-06,Desktop,5.545986077331116
2019-06,Mobile Web,6.187500710266093
2019-06,iOS,7.758759270833423
2019-07,Android,6.607204194149019
2019-07,Desktop,5.60408260137492
2019-07,Mobile Web,6.264313029879758
2019-07,iOS,7.538280510364085
2019-08,Android,6.55247602987873
2019-08,Desktop,5.541182485778408
2019-08,Mobile Web,6.332901568945501
2019-08,iOS,7.615350200328294
2019-09,Android,6.602589099112334
2019-09,Desktop,5.543428087503911
2019-09,Mobile Web,6.4718401223777295
2019-09,iOS,7.505763471250617
2019-10,Android,6.563678149517814
2019-10,Desktop,5.532448838889681
2019-10,Mobile Web,6.305866644004686
2019-10,iOS,7.342325153847606
2019-11,Android,6.550217295601311
2019-11,Desktop,5.449065627381223
2019-11,Mobile Web,6.557765729448615
2019-11,iOS,7.340591648765633
2019-12,Android,6.49292587964329
2019-12,Desktop,5.399329887813515
2019-12,Mobile Web,6.896263930824724
2019-12,iOS,7.310505824326525
2020-01,Android,6.549371812064211
2020-01,Desktop,5.501311626518608
2020-01,Mobile Web,6.770338494187724
2020-01,iOS,7.484650859615398
2020-02,Android,6.506881781243225
2020-02,Desktop,5.570139627233636
2020-02,Mobile Web,6.51546547447133
2020-02,iOS,7.442814787846411
2020-03,Android,6.511570998760365
2020-03,Desktop,5.6478845177939005
2020-03,Mobile Web,6.373696529677568
2020-03,iOS,7.651294369021451
2020-04,Android,7.047349522919342
2020-04,Desktop,5.786825412899851
2020-04,Mobile Web,6.4968805088701
2020-04,iOS,8.026976101809314
2020-05,Android,7.247166612162241
2020-05,Desktop,5.78773197439026
2020-05,Mobile Web,7.092602096855145
2020-05,iOS,8.113255685533526
2020-06,Android,7.00586148340851
2020-06,Desktop,5.8994661167530476
2020-06,Mobile Web,6.986673512560781
2020-06,iOS,7.6836635832265765
2020-07,Android,5.9766200982951485
2020-07,Desktop,5.6895220946882015
2020-07,Mobile Web,6.444131149793036
2020-07,iOS,5.505927713435541
2020-08,Android,6.014914658277965
2020-08,Desktop,5.666992976812629
2020-08,Mobile Web,6.313338101748708
2020-08,iOS,5.536111573806668
2020-09,Android,6.1223618837981615
2020-09,Desktop,5.677205311017484
2020-09,Mobile Web,6.385510182174634
2020-09,iOS,5.631503583055787
2020-10,Android,6.187479207273096
2020-10,Desktop,5.455731019709167
2020-10,Mobile Web,6.1449126449230125
2020-10,iOS,5.784630837533674
2020-11,Android,6.844309101214074
2020-11,Desktop,5.317085882824822
2020-11,Mobile Web,6.07828326513157
2020-11,iOS,5.805828929913381
2020-12,Android,7.211568876594346
2020-12,Desktop,5.290282633621577
2020-12,Mobile Web,6.02033969598667
2020-12,iOS,5.73951585563072
2021-01,Android,7.872856325323875
2021-01,Desktop,5.2643450304003006
2021-01,Mobile Web,6.085773483458933
2021-01,iOS,5.900844114130206
2021-02,Android,7.64729128153692
2021-02,Desktop,5.266779546962465
2021-02,Mobile Web,6.059724538963006
2021-02,iOS,5.825444574392235
2021-03,Android,8.086463904822727
2021-03,Desktop,5.410594927252975
2021-03,Mobile Web,6.03369810661397
2021-03,iOS,5.867574545817761
