"Year,month",reply_type,Avg_leads
2019-01,call,44961.42801076199
2019-01,chat,62.69878348238708
2019-01,email,14669.144870474713
2019-01,sms,3146.5544496983225
2019-02,call,42618.71920527706
2019-02,chat,61.674404222142854
2019-02,email,13174.177630396287
2019-02,sms,2989.765161270857
2019-03,call,42166.887525038524
2019-03,chat,53.098402646709665
2019-03,email,12555.638807983354
2019-03,sms,2741.32355985658
2019-04,call,40886.840697722204
2019-04,call/sms,0.612369971
2019-04,chat,26.944278723999997
2019-04,email,12096.511459145602
2019-04,sms,2410.6556278385997
2019-05,call,29846.280262698972
2019-05,call/sms,0.7111393211612904
2019-05,chat,45.74996299470967
2019-05,email,8751.517532651225
2019-05,sms,1718.9422624670324
2019-06,call,24669.4467557292
2019-06,call/sms,0.36742198260000003
2019-06,chat,52.541343511799994
2019-06,email,10560.320149895
2019-06,sms,2424.8626111657995
2019-07,call,42911.331871074195
2019-07,call/sms,1.0667089817419355
2019-07,chat,53.453972307290314
2019-07,email,14747.13314936206
2019-07,sms,3097.841406198774
2019-08,call,39480.79578579212
2019-08,call/sms,0.592616100967742
2019-08,chat,54.757727729419344
2019-08,email,12718.608235749482
2019-08,sms,2660.6092469047744
2019-09,call,39272.2660321836
2019-09,call/sms,0.612369971
2019-09,chat,55.2357713842
2019-09,email,13551.747458229998
2019-09,sms,2698.1020922260004
2019-10,call,34415.11335471988
2019-10,call/sms,0.1185232201935484
2019-10,chat,24.889876240645165
2019-10,email,12258.501094958126
2019-10,sms,2168.500836661161
2019-11,call,32684.879780142397
2019-11,call/sms,0.36742198260000003
2019-11,chat,20.943053008199996
2019-11,email,13882.0598205874
2019-11,sms,2162.7682635778
2019-12,call,35923.202808462585
2019-12,call/sms,0.3555696605806452
2019-12,chat,29.275235387806458
2019-12,email,13261.20753779555
2019-12,sms,2068.1116691572256
2020-01,call,38907.26192327556
2020-01,chat,22.519411836774196
2020-01,email,13118.742627122903
2020-01,sms,2195.9982237460645
2020-02,call,38793.426500791036
2020-02,chat,34.71504249393104
2020-02,email,13656.061515358962
2020-02,sms,2185.780704763862
2020-03,call,24993.347011874128
2020-03,chat,24.534306580064516
2020-03,email,10413.450126205164
2020-03,sms,1341.9198990313546
2020-04,call,8018.4948742682
2020-04,chat,2.6944278724
2020-04,email,3916.2284385391995
2020-04,sms,516.9627295181999
2020-05,call,19309.921557153095
2020-05,chat,9.244811175096775
2020-05,email,9290.679661311677
2020-05,sms,1295.5773199356772
2020-06,call,37820.826726919404
2020-06,chat,10.1653415186
2020-06,email,16306.9224317532
2020-06,sms,2092.9580868838
2020-07,call,35418.75249629431
2020-07,chat,8.726627152741935
2020-07,email,13477.463400646548
2020-07,sms,1975.740271977613
2020-08,call,32897.4810949411
2020-08,chat,8.25851974180645
2020-08,email,12513.428734955387
2020-08,sms,1966.939184057516
2020-09,call,34871.526985680226
2020-09,chat,14.84135689253333
2020-09,email,14400.394314123867
2020-09,sms,1958.205092267667
2020-10,call,25943.319010488645
2020-10,chat,8.123502013903225
2020-10,email,9997.974464598483
2020-10,sms,1517.6388594610648
2020-11,call,24220.605192838597
2020-11,chat,4.488998202833333
2020-11,email,8217.785997579535
2020-11,sms,1444.6718822445
2020-12,call,23043.701693651932
2020-12,chat,3.2459557138387094
2020-12,email,7238.482074617097
2020-12,sms,1190.618072682161
2021-01,call,21176.390721151354
2021-01,chat,6.281137581967742
2021-01,email,6562.501635368484
2021-01,sms,1152.6183067695483
2021-02,call,21171.94388567218
2021-02,chat,5.321278081107143
2021-02,email,5896.246388237785
2021-02,sms,1195.2600181936432
2021-03,call,22691.202408597874
2021-03,chat,3.4777517221290317
2021-03,email,5565.862350461773
2021-03,sms,1223.4202365596127
