"Year,month",reply_type,Avg_leads
2019-01,call,192208.01858660337
2019-01,chat,92013.70472034988
2019-01,email,1916.9991705040002
2019-01,sms,27269.767882761615
2019-02,call,190733.16732060397
2019-02,chat,87007.57212794779
2019-02,email,2033.0444596842142
2019-02,sms,25749.599258051643
2019-03,call,170058.61152340047
2019-03,chat,69784.99241499143
2019-03,email,2222.9653984198067
2019-03,sms,22894.220668249807
2019-04,call,162010.26744171165
2019-04,call/sms,2.687105363066667
2019-04,chat,68234.97855438033
2019-04,email,2240.3583018254667
2019-04,sms,21035.953432361934
2019-05,call,157528.24173493925
2019-05,call/sms,3.4093548476774194
2019-05,chat,69963.03243378027
2019-05,email,1892.426478432387
2019-05,sms,20911.655551945223
2019-06,call,142075.70488974085
2019-06,call/sms,3.745250394066667
2019-06,chat,80971.40267603281
2019-06,email,1868.5025541444666
2019-06,sms,22190.519493711465
2019-07,call,160761.93685417884
2019-07,call/sms,4.931691002774195
2019-07,chat,82677.76191033109
2019-07,email,1856.5436231089034
2019-07,sms,21955.135788549294
2019-08,call,161610.76165454707
2019-08,call/sms,4.477711365870968
2019-08,chat,82633.34456940678
2019-08,email,1897.3543188265162
2019-08,sms,22044.971050177675
2019-09,call,159050.9512806565
2019-09,call/sms,2.1739951975333334
2019-09,chat,84674.52598725626
2019-09,email,2001.6285356558
2019-09,sms,23082.156273816803
2019-10,call,162652.34944579098
2019-10,call/sms,3.4020520324516133
2019-10,chat,84699.62516174266
2019-10,email,2023.3243303007744
2019-10,sms,22646.021857439035
2019-11,call,152862.9580904617
2019-11,call/sms,10.518771489066665
2019-11,chat,85665.851280687
2019-11,email,2398.4643486556
2019-11,sms,21616.490096477137
2019-12,call,157794.42913347625
2019-12,call/sms,3.886802282064516
2019-12,chat,84568.33571823793
2019-12,email,2496.946068607613
2019-12,sms,20718.752570342964
2020-01,call,150814.42949993451
2020-01,chat,76685.33029153534
2020-01,email,2270.7213514478703
2020-01,sms,18707.65951323716
2020-02,call,145579.69087234247
2020-02,chat,76312.4309437364
2020-02,email,2181.651390090828
2020-02,sms,17631.290621288
2020-03,call,147255.23215515705
2020-03,chat,82095.26055596059
2020-03,email,2385.156127760193
2020-03,sms,17634.951850470774
2020-04,call,204682.69350733468
2020-04,chat,107242.28767574087
2020-04,email,2763.323696242334
2020-04,sms,24606.41196110054
2020-05,call,217420.40321169197
2020-05,chat,121881.47350899212
2020-05,email,3417.9527132980647
2020-05,sms,27906.76668061065
2020-06,call,187716.72898887657
2020-06,chat,106303.30573593835
2020-06,email,3134.134300148933
2020-06,sms,24081.779168259465
2020-07,call,144469.11532514016
2020-07,chat,89909.58102102931
2020-07,email,4365.198907002322
2020-07,sms,18561.435805729547
2020-08,call,139301.57564002016
2020-08,chat,85056.76232359627
2020-08,email,4213.227334849773
2020-08,sms,18106.50766100784
2020-09,call,121823.08116092504
2020-09,chat,80966.98066020089
2020-09,email,3963.2451980087003
2020-09,sms,16753.466912522934
2020-10,call,117958.79042923481
2020-10,chat,76110.84468349654
2020-10,email,3786.5990384009356
2020-10,sms,16451.08773284597
2020-11,call,120126.8233708655
2020-11,chat,72637.83675860749
2020-11,email,3624.8983617598665
2020-11,sms,15979.565239234136
2020-12,call,121104.89924105731
2020-12,chat,65577.39333890629
2020-12,email,3380.2098190012257
2020-12,sms,14884.863953095519
2021-01,call,135716.8598601905
2021-01,chat,74230.14284145807
2021-01,email,3797.8241688919998
2021-01,sms,17109.47837766713
2021-02,call,119533.63415718231
2021-02,chat,65918.21439643975
2021-02,email,3495.512390764072
2021-02,sms,14983.798130845034
2021-03,call,104978.39126135592
2021-03,chat,56924.7882737357
2021-03,email,2893.302745054387
2021-03,sms,12562.255804333423
