"Year,month",reply_type,Avg_leads
2019-01,call,255306.18150472565
2019-01,chat,38698.67580713606
2019-01,email,1491.648621438839
2019-01,sms,24496.72672713207
2019-02,call,228348.499215068
2019-02,chat,35661.11904148186
2019-02,email,1575.0212455266428
2019-02,sms,22019.315350897858
2019-03,call,220527.28630588917
2019-03,chat,34646.52667514259
2019-03,email,1514.8683958287097
2019-03,sms,20562.675009498325
2019-04,call,219975.84778137202
2019-04,call/sms,5.542461113666666
2019-04,chat,34001.1713657552
2019-04,email,1564.1758156138667
2019-04,sms,19140.844961386065
2019-05,call,207298.65493391454
2019-05,call/sms,4.782388100387096
2019-05,chat,34069.08420383678
2019-05,email,1531.6265424964513
2019-05,sms,19040.784821797293
2019-06,call,164339.52766378
2019-06,call/sms,7.576633141999999
2019-06,chat,36004.523294371735
2019-06,email,1423.389182069
2019-06,sms,19468.455484047467
2019-07,call,218942.6959353004
2019-07,call/sms,15.27833656
2019-07,chat,39333.58236744594
2019-07,email,1571.0990456358063
2019-07,sms,20596.967804742646
2019-08,call,207194.5555120184
2019-08,call/sms,7.6667175814193556
2019-08,chat,39433.3467736649
2019-08,email,1530.9567701383867
2019-08,sms,19572.427441341548
2019-09,call,203246.0288300343
2019-09,call/sms,8.525336258533333
2019-09,chat,40518.26336988474
2019-09,email,1560.7034534197999
2019-09,sms,19731.050695342732
2019-10,call,214694.63522263497
2019-10,call/sms,18.02463081832258
2019-10,chat,38564.462963950646
2019-10,email,1584.2683406829678
2019-10,sms,19207.076782899618
2019-11,call,216390.15601431907
2019-11,call/sms,33.59719196853334
2019-11,chat,40916.21696635294
2019-11,email,2044.6548627317336
2019-11,sms,18883.932793049196
2019-12,call,223464.52214424207
2019-12,call/sms,23.2385911416129
2019-12,chat,44189.263572790456
2019-12,email,2565.3437054221286
2019-12,sms,19163.26584108013
2020-01,call,223135.49190065023
2020-01,chat,47113.09378411741
2020-01,email,2854.412818221484
2020-01,sms,20519.496197963224
2020-02,call,215169.548731039
2020-02,chat,45327.03599597083
2020-02,email,2723.269604448069
2020-02,sms,19978.266021591244
2020-03,call,154805.29525240848
2020-03,chat,33993.5240528907
2020-03,email,2245.8994067121293
2020-03,sms,14727.263356851356
2020-04,call,95347.85738094
2020-04,chat,21381.420099979332
2020-04,email,1645.3871276624664
2020-04,sms,9792.250665582735
2020-05,call,163503.77416798798
2020-05,chat,37038.11646654309
2020-05,email,2412.963811592903
2020-05,sms,15475.035402169933
2020-06,call,235615.06889319886
2020-06,chat,53363.13038796487
2020-06,email,3614.081530811066
2020-06,sms,21326.684037083534
2020-07,call,211039.7819602297
2020-07,chat,64488.015805268085
2020-07,email,6725.141626780805
2020-07,sms,19900.559348615898
2020-08,call,201207.17193915628
2020-08,chat,62840.27625986517
2020-08,email,6651.100880792871
2020-08,sms,20020.873678613003
2020-09,call,189554.3488766165
2020-09,chat,60837.0024757294
2020-09,email,6518.8420057313
2020-09,sms,19099.32670281077
2020-10,call,168832.28113770983
2020-10,chat,52525.61980105532
2020-10,email,5921.221988911291
2020-10,sms,17223.39201680597
2020-11,call,158565.71201135675
2020-11,chat,45294.0359111936
2020-11,email,5243.4990717821
2020-11,sms,14923.274234670733
2020-12,call,182794.5571212405
2020-12,chat,49657.03481298193
2020-12,email,5462.925556350033
2020-12,sms,16281.288264595225
2021-01,call,206736.97818747372
2021-01,chat,57741.239718652185
2021-01,email,5782.753400887355
2021-01,sms,17846.58630777429
2021-02,call,167706.9392323643
2021-02,chat,46200.043315242496
2021-02,email,5028.860629323179
2021-02,sms,14742.053788914392
2021-03,call,203937.5094792727
2021-03,chat,53755.28868079568
2021-03,email,5466.161547346967
2021-03,sms,17523.73872975142
